"Story","Title","Result","Date","Stability","Duration (s)"
"CRUD Regresin","Consultar una pagina de usuarios","SUCCESS","2023-03-05T18:17:43.7344788-05:00[America/Bogota]","0.0","8.58"
"CRUD Regresin","Consultar un usuario aleatoriamente","SUCCESS","2023-03-05T18:17:52.4998785-05:00[America/Bogota]","0.0","2.27"
"CRUD Regresin","Resultados de la consulta no encontrados","SUCCESS","2023-03-05T18:17:54.8987511-05:00[America/Bogota]","0.0","1.91"
"CRUD Regresin","Consultar lista de recursos","SUCCESS","2023-03-05T18:17:56.9368658-05:00[America/Bogota]","0.0","1.86"
"CRUD Regresin","Consultar un recurso aleatoriamente","SUCCESS","2023-03-05T18:17:58.9175511-05:00[America/Bogota]","0.0","1.87"
"CRUD Regresin","Resultados de la consulta de recursos no encontrados","SUCCESS","2023-03-05T18:18:00.9071443-05:00[America/Bogota]","0.0","1.8"
"CRUD Regresin","Crear usuario aleatoriamente","SUCCESS","2023-03-05T18:18:02.8033875-05:00[America/Bogota]","0.0","2.09"
"CRUD Regresin","Actualizar usuario aleatoriamente","SUCCESS","2023-03-05T18:18:04.9847812-05:00[America/Bogota]","0.0","2.02"
"CRUD Regresin","Actualizar usuario aleatoriamente con metodo patch","SUCCESS","2023-03-05T18:18:07.0949739-05:00[America/Bogota]","0.0","1.85"
"CRUD Regresin","Eliminar usuario aleatoriamente","SUCCESS","2023-03-05T18:18:09.0162688-05:00[America/Bogota]","0.0","1.82"
